OpenJDK 64-Bit Server VM (25.252-b09) for linux-amd64 JRE (1.8.0_252-8u252-b09-1ubuntu1-b09), built on Apr 16 2020 08:47:49 by "buildd" with gcc 9.3.0
2021-01-22T01:08:05.317+0800: 5.008: [GC (Allocation Failure) [PSYoungGen: 539669K->120756K(559616K)] 1578989K->1240523K(1957888K), 0.0210903 secs] [Times: user=0.16 sys=0.00, real=0.03 secs] 
2021-01-22T01:08:05.388+0800: 5.079: [GC (Allocation Failure) [PSYoungGen: 542132K->120012K(563712K)] 1661899K->1323688K(1961984K), 0.0211487 secs] [Times: user=0.17 sys=0.00, real=0.03 secs] 
2021-01-22T01:08:05.458+0800: 5.149: [GC (Allocation Failure) [PSYoungGen: 547020K->133435K(560640K)] 1750696K->1418507K(1958912K), 0.0226439 secs] [Times: user=0.18 sys=0.00, real=0.03 secs] 
2021-01-22T01:08:05.528+0800: 5.219: [GC (Allocation Failure) [PSYoungGen: 560443K->121350K(561664K)] 1845515K->1492343K(1959936K), 0.0308071 secs] [Times: user=0.19 sys=0.05, real=0.04 secs] 
2021-01-22T01:08:05.559+0800: 5.250: [Full GC (Ergonomics) [PSYoungGen: 121350K->0K(561664K)] [ParOldGen: 1370993K->375271K(1398272K)] 1492343K->375271K(1959936K), [Metaspace: 2817K->2817K(1056768K)], 0.0461885 secs] [Times: user=0.33 sys=0.00, real=0.04 secs] 
2021-01-22T01:08:05.652+0800: 5.343: [GC (Allocation Failure) [PSYoungGen: 423371K->127820K(560640K)] 798643K->503091K(1958912K), 0.0128822 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
2021-01-22T01:08:05.712+0800: 5.404: [GC (Allocation Failure) [PSYoungGen: 551244K->123278K(562688K)] 926515K->582101K(1960960K), 0.0202983 secs] [Times: user=0.15 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:05.780+0800: 5.471: [GC (Allocation Failure) [PSYoungGen: 548238K->133169K(558592K)] 1007061K->669336K(1956864K), 0.0208432 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:05.847+0800: 5.538: [GC (Allocation Failure) [PSYoungGen: 558129K->125477K(561152K)] 1094296K->750182K(1959424K), 0.0215448 secs] [Times: user=0.14 sys=0.01, real=0.03 secs] 
2021-01-22T01:08:05.918+0800: 5.609: [GC (Allocation Failure) [PSYoungGen: 547877K->125945K(560128K)] 1172582K->834835K(1958400K), 0.0221128 secs] [Times: user=0.17 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:05.984+0800: 5.676: [GC (Allocation Failure) [PSYoungGen: 548345K->124194K(562688K)] 1257235K->918595K(1960960K), 0.0211655 secs] [Times: user=0.17 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:06.055+0800: 5.746: [GC (Allocation Failure) [PSYoungGen: 549666K->127298K(561664K)] 1344067K->1001557K(1959936K), 0.0213573 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:06.127+0800: 5.818: [GC (Allocation Failure) [PSYoungGen: 552770K->124576K(564224K)] 1427029K->1082823K(1962496K), 0.0218475 secs] [Times: user=0.15 sys=0.01, real=0.03 secs] 
2021-01-22T01:08:06.198+0800: 5.889: [GC (Allocation Failure) [PSYoungGen: 552504K->132877K(561152K)] 1510752K->1173416K(1959424K), 0.0222386 secs] [Times: user=0.17 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:06.271+0800: 5.962: [GC (Allocation Failure) [PSYoungGen: 560909K->133608K(558080K)] 1601448K->1255595K(1956352K), 0.0223642 secs] [Times: user=0.17 sys=0.01, real=0.02 secs] 
2021-01-22T01:08:06.337+0800: 6.028: [GC (Allocation Failure) [PSYoungGen: 554984K->128131K(560128K)] 1676971K->1335648K(1958400K), 0.0218642 secs] [Times: user=0.17 sys=0.00, real=0.03 secs] 
2021-01-22T01:08:06.406+0800: 6.097: [GC (Allocation Failure) [PSYoungGen: 549507K->121065K(560640K)] 1757024K->1410067K(1958912K), 0.0226946 secs] [Times: user=0.18 sys=0.00, real=0.03 secs] 
2021-01-22T01:08:06.473+0800: 6.164: [GC (Allocation Failure) [PSYoungGen: 543465K->126097K(560640K)] 1832467K->1502259K(1958912K), 0.0228435 secs] [Times: user=0.18 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:06.497+0800: 6.188: [Full GC (Ergonomics) [PSYoungGen: 126097K->0K(560640K)] [ParOldGen: 1376162K->373347K(1398272K)] 1502259K->373347K(1958912K), [Metaspace: 2817K->2817K(1056768K)], 0.0403847 secs] [Times: user=0.30 sys=0.00, real=0.04 secs] 
2021-01-22T01:08:06.583+0800: 6.275: [GC (Allocation Failure) [PSYoungGen: 422400K->123990K(562688K)] 795747K->497337K(1960960K), 0.0125236 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
2021-01-22T01:08:06.643+0800: 6.334: [GC (Allocation Failure) [PSYoungGen: 549462K->127946K(561664K)] 922809K->584179K(1959936K), 0.0205608 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:06.712+0800: 6.403: [GC (Allocation Failure) [PSYoungGen: 553418K->114994K(561664K)] 1009651K->653281K(1959936K), 0.0197259 secs] [Times: user=0.15 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:06.780+0800: 6.471: [GC (Allocation Failure) [PSYoungGen: 540466K->123808K(562176K)] 1078753K->742596K(1960448K), 0.0208114 secs] [Times: user=0.15 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:06.850+0800: 6.541: [GC (Allocation Failure) [PSYoungGen: 549280K->125341K(563712K)] 1168068K->826724K(1961984K), 0.0218344 secs] [Times: user=0.15 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:06.917+0800: 6.608: [GC (Allocation Failure) [PSYoungGen: 553373K->126985K(563200K)] 1254756K->911590K(1961472K), 0.0211867 secs] [Times: user=0.16 sys=0.00, real=0.03 secs] 
