OpenJDK 64-Bit Server VM (25.252-b09) for linux-amd64 JRE (1.8.0_252-8u252-b09-1ubuntu1-b09), built on Apr 16 2020 08:47:49 by "buildd" with gcc 9.3.0
Memory: 4k page, physical 39286120k(39105040k free), swap 10485760k(10485760k free)
CommandLine flags: -XX:InitialHeapSize=4294967296 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
2021-01-22T00:43:28.640+0800: 13.978: [GC (Allocation Failure) 2021-01-22T00:43:28.641+0800: 13.979: [DefNew: 1258304K->139775K(1258304K), 0.0365043 secs] 2514481K->1547820K(4054528K), 0.0373471 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2021-01-22T00:43:28.823+0800: 14.161: [GC (Allocation Failure) 2021-01-22T00:43:28.823+0800: 14.161: [DefNew: 1258303K->139775K(1258304K), 0.0417072 secs] 2666348K->1698777K(4054528K), 0.0425884 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:29.009+0800: 14.347: [GC (Allocation Failure) 2021-01-22T00:43:29.010+0800: 14.348: [DefNew: 1258303K->139775K(1258304K), 0.0427995 secs] 2817305K->1858984K(4054528K), 0.0436868 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:29.187+0800: 14.525: [GC (Allocation Failure) 2021-01-22T00:43:29.187+0800: 14.525: [DefNew: 1258303K->139775K(1258304K), 0.0375490 secs] 2977512K->2006556K(4054528K), 0.0384650 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:29.370+0800: 14.708: [GC (Allocation Failure) 2021-01-22T00:43:29.370+0800: 14.708: [DefNew: 1258303K->139775K(1258304K), 0.0423742 secs] 3125084K->2148385K(4054528K), 0.0435307 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:29.550+0800: 14.888: [GC (Allocation Failure) 2021-01-22T00:43:29.550+0800: 14.888: [DefNew: 1258303K->139775K(1258304K), 0.0385799 secs] 3266913K->2307753K(4054528K), 0.0396225 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:29.735+0800: 15.073: [GC (Allocation Failure) 2021-01-22T00:43:29.735+0800: 15.073: [DefNew: 1258303K->139775K(1258304K), 0.0402884 secs] 3426281K->2451861K(4054528K), 0.0410887 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:29.921+0800: 15.259: [GC (Allocation Failure) 2021-01-22T00:43:29.922+0800: 15.260: [DefNew: 1258303K->139776K(1258304K), 0.0419181 secs] 3570389K->2612451K(4054528K), 0.0429135 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:30.093+0800: 15.431: [GC (Allocation Failure) 2021-01-22T00:43:30.094+0800: 15.432: [DefNew: 1258304K->139775K(1258304K), 0.0396214 secs] 3730979K->2768141K(4054528K), 0.0405120 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:30.277+0800: 15.615: [GC (Allocation Failure) 2021-01-22T00:43:30.277+0800: 15.615: [DefNew: 1258303K->1258303K(1258304K), 0.0005703 secs]2021-01-22T00:43:30.278+0800: 15.616: [Tenured: 2628365K->379742K(2796224K), 0.0605556 secs] 3886669K->379742K(4054528K), [Metaspace: 2817K->2817K(1056768K)], 0.0626253 secs] [Times: user=0.06 sys=0.00, real=0.07 secs] 
2021-01-22T00:43:30.487+0800: 15.825: [GC (Allocation Failure) 2021-01-22T00:43:30.487+0800: 15.825: [DefNew: 1118528K->139775K(1258304K), 0.0366434 secs] 1498270K->633936K(4054528K), 0.0374655 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:30.664+0800: 16.002: [GC (Allocation Failure) 2021-01-22T00:43:30.664+0800: 16.002: [DefNew: 1258303K->139776K(1258304K), 0.0444704 secs] 1752464K->802230K(4054528K), 0.0453224 secs] [Times: user=0.05 sys=0.00, real=0.05 secs] 
